Category,File,Line,Translation Key,Code Context
Authentication,src/app/(auth)/accept-invitation/components/accept-invitation-form.tsx,48,token,"const token = searchParams.get(""token"")"
Authentication,src/app/(auth)/login/components/user-auth-form.tsx,30,validation.email_required,".min(1, { message: t(""validation.email_required"") })"
Authentication,src/app/(auth)/login/components/user-auth-form.tsx,31,validation.email_invalid,".email({ message: t(""validation.email_invalid"") }),"
Authentication,src/app/(auth)/login/components/user-auth-form.tsx,117,login.email,"<FormLabel>{t(""login.email"")}</FormLabel>"
Authentication,src/app/(auth)/login/components/user-auth-form.tsx,119,login.email_placeholder,"<Input placeholder={t(""login.email_placeholder"")} {...field} />"
Authentication,src/app/(auth)/login/components/user-auth-form.tsx,131,login.password,"<FormLabel>{t(""login.password"")}</FormLabel>"
Authentication,src/app/(auth)/login/components/user-auth-form.tsx,136,login.forgot_password,"{t(""login.forgot_password"")}"
Authentication,src/app/(auth)/login/components/user-auth-form.tsx,140,login.password_placeholder,"<PasswordInput placeholder={t(""login.password_placeholder"")} {...field} />"
Authentication,src/app/(auth)/login/components/user-auth-form.tsx,147,login.button_loading,"{isLoading ? t(""login.button_loading"") : t(""login.button"")}"
Authentication,src/app/(auth)/login/components/user-auth-form.tsx,147,login.button,"{isLoading ? t(""login.button_loading"") : t(""login.button"")}"
Authentication,src/app/(auth)/login/page.tsx,14,login.subtitle,"{t(""login.subtitle"")}"
Authentication,src/app/(auth)/login/page.tsx,19,login.terms_text,"{t(""login.terms_text"")}{"" ""}"
Authentication,src/app/(auth)/login/page.tsx,24,login.terms_link,"{t(""login.terms_link"")}"
Authentication,src/app/(auth)/login/page.tsx,26,login.terms_and,"{t(""login.terms_and"")}{"" ""}"
Authentication,src/app/(auth)/login/page.tsx,31,login.privacy_link,"{t(""login.privacy_link"")}"
Authentication,src/app/(auth)/reset-password/components/reset-password-form.tsx,44,token,"const token = searchParams?.get(""token"")"
Other,src/app/(dashboard)/(dashboard-1)/page.tsx,25,page.title,"<h1 className=""text-2xl font-bold tracking-tight"">{t(""page.title"")}</h1>"
Other,src/app/(dashboard)/(dashboard-1)/page.tsx,37,widgets.overview,"{t(""widgets.overview"")}"
Other,src/app/(dashboard)/(dashboard-1)/page.tsx,44,widgets.analytics,"{t(""widgets.analytics"")}"
Other,src/app/(dashboard)/(dashboard-1)/page.tsx,52,widgets.reports,"{t(""widgets.reports"")}"
Other,src/app/(dashboard)/(dashboard-1)/page.tsx,60,widgets.notifications,"{t(""widgets.notifications"")}"
Other,src/app/(dashboard)/403/page.tsx,22,forbidden.title,"<CardTitle className=""text-2xl"">{t(""forbidden.title"")}</CardTitle>"
Other,src/app/(dashboard)/403/page.tsx,24,forbidden.description,"{t(""forbidden.description"")}"
Other,src/app/(dashboard)/403/page.tsx,29,forbidden.why_title,"<h3 className=""font-semibold mb-2"">{t(""forbidden.why_title"")}</h3>"
Other,src/app/(dashboard)/403/page.tsx,31,forbidden.reason_1,"<li>• {t(""forbidden.reason_1"")}</li>"
Other,src/app/(dashboard)/403/page.tsx,32,forbidden.reason_2,"<li>• {t(""forbidden.reason_2"")}</li>"
Other,src/app/(dashboard)/403/page.tsx,33,forbidden.reason_3,"<li>• {t(""forbidden.reason_3"")}</li>"
Other,src/app/(dashboard)/403/page.tsx,38,forbidden.contact_admin,"{t(""forbidden.contact_admin"")}"
Other,src/app/(dashboard)/dashboard-2/page.tsx,21,page.title,"<h2 className=""text-2xl font-bold tracking-tight"">{t(""page.title"")}</h2>"
Other,src/app/(dashboard)/dashboard-2/page.tsx,23,page.description,"{t(""page.description"")}"
Other,src/app/(dashboard)/dashboard-3/page.tsx,23,page.title,"{t(""page.title"")}"
Other,src/app/(dashboard)/dashboard-3/page.tsx,26,page.description,"{t(""page.description"")}"
Developers,src/app/(dashboard)/developers/api-keys/page.tsx,139,breadcrumb.home,"<Link href=""/"">{t(""breadcrumb.home"")}</Link>"
Developers,src/app/(dashboard)/developers/api-keys/page.tsx,144,breadcrumb.developers,"<BreadcrumbPage>{t(""breadcrumb.developers"")}</BreadcrumbPage>"
Developers,src/app/(dashboard)/developers/api-keys/page.tsx,148,api_keys.title,"<BreadcrumbPage>{t(""api_keys.title"")}</BreadcrumbPage>"
Developers,src/app/(dashboard)/developers/api-keys/page.tsx,155,api_keys.title,"<h2 className=""text-2xl font-bold"">{t(""api_keys.title"")}</h2>"
Developers,src/app/(dashboard)/developers/api-keys/page.tsx,157,api_keys.description,"{t(""api_keys.description"")}"
Developers,src/app/(dashboard)/developers/api-keys/page.tsx,182,api_keys.title,"{t(""api_keys.title"")}"
Developers,src/app/(dashboard)/developers/api-keys/page.tsx,188,api_keys.version,"<h2 className=""text-lg font-semibold"">{t(""api_keys.version"")}</h2>"
Developers,src/app/(dashboard)/developers/api-keys/page.tsx,204,api_keys.secret_keys,"<h2 className=""text-lg font-semibold"">{t(""api_keys.secret_keys"")}</h2>"
Developers,src/app/(dashboard)/developers/api-keys/page.tsx,286,api_keys.publishable_keys,"<h2 className=""text-lg font-semibold"">{t(""api_keys.publishable_keys"")}</h2>"
Developers,src/app/(dashboard)/developers/events-&-logs/page.tsx,39,breadcrumb.home,"<Link href=""/"">{t(""breadcrumb.home"")}</Link>"
Developers,src/app/(dashboard)/developers/events-&-logs/page.tsx,44,breadcrumb.developers,"<BreadcrumbPage>{t(""breadcrumb.developers"")}</BreadcrumbPage>"
Developers,src/app/(dashboard)/developers/events-&-logs/page.tsx,48,logs.title,"<BreadcrumbPage>{t(""logs.title"")}</BreadcrumbPage>"
Developers,src/app/(dashboard)/developers/events-&-logs/page.tsx,54,logs.title,"<h2 className=""text-2xl font-bold"">{t(""logs.title"")}</h2>"
Developers,src/app/(dashboard)/developers/events-&-logs/page.tsx,56,logs.description,"{t(""logs.description"")}"
Developers,src/app/(dashboard)/developers/hooks/page.tsx,274,breadcrumb.home,"<Link href=""/"">{t(""breadcrumb.home"")}</Link>"
Developers,src/app/(dashboard)/developers/hooks/page.tsx,279,breadcrumb.developers,"<BreadcrumbPage>{t(""breadcrumb.developers"")}</BreadcrumbPage>"
Developers,src/app/(dashboard)/developers/hooks/page.tsx,283,hooks.title,"<BreadcrumbPage>{t(""hooks.title"")}</BreadcrumbPage>"
Developers,src/app/(dashboard)/developers/hooks/page.tsx,290,hooks.title,"<h2 className=""text-2xl font-bold"">{t(""hooks.title"")}</h2>"
Developers,src/app/(dashboard)/developers/hooks/page.tsx,292,hooks.description,"{t(""hooks.description"")}"
Developers,src/app/(dashboard)/developers/hooks/page.tsx,299,hooks.system_title,"<AlertTitle>{t(""hooks.system_title"")}</AlertTitle>"
Developers,src/app/(dashboard)/developers/hooks/page.tsx,301,hooks.system_description,"{t(""hooks.system_description"")}"
Developers,src/app/(dashboard)/developers/hooks/page.tsx,307,hooks.loading,"<div className=""mt-6 text-center text-sm text-muted-foreground"">{t(""hooks.loading"")}</div>"
Developers,src/app/(dashboard)/developers/hooks/page.tsx,311,hooks.available,"<CardTitle>{t(""hooks.available"")}</CardTitle>"
Developers,src/app/(dashboard)/developers/hooks/page.tsx,313,hooks.on,"{filteredHooks.length} {t(""hooks.on"")} {hooks.length} hook{hooks.length > 1 ? ""s"" : """"} {t(""hooks.di"
Developers,src/app/(dashboard)/developers/hooks/page.tsx,313,hooks.displayed,"{filteredHooks.length} {t(""hooks.on"")} {hooks.length} hook{hooks.length > 1 ? ""s"" : """"} {t(""hooks.di"
Developers,src/app/(dashboard)/developers/hooks/page.tsx,322,hooks.search,"placeholder={t(""hooks.search"")}"
Developers,src/app/(dashboard)/developers/overview/components/recent-activity.tsx,45, ,".split("" "")"
Developers,src/app/(dashboard)/developers/overview/page.tsx,46,breadcrumb.developers,"<BreadcrumbPage>{t(""breadcrumb.developers"")}</BreadcrumbPage>"
Developers,src/app/(dashboard)/developers/overview/page.tsx,50,overview.breadcrumb,"<BreadcrumbPage>{t(""overview.breadcrumb"")}</BreadcrumbPage>"
Developers,src/app/(dashboard)/developers/overview/page.tsx,57,overview.title,"<h2 className=""text-2xl font-bold"">{t(""overview.title"")}</h2>"
Developers,src/app/(dashboard)/developers/overview/page.tsx,59,overview.description,"{t(""overview.description"")}"
Developers,src/app/(dashboard)/developers/webhooks/[id]/page.tsx,52,breadcrumb.developers,"<Link href=""/developers/overview"">{t(""breadcrumb.developers"")}</Link>"
Developers,src/app/(dashboard)/developers/webhooks/[id]/page.tsx,58,webhooks.breadcrumb,"<Link href=""/developers/webhooks"">{t(""webhooks.breadcrumb"")}</Link>"
Developers,src/app/(dashboard)/developers/webhooks/[id]/page.tsx,70,webhooks.detail.title,"<h2 className=""text-2xl font-bold"">{t(""webhooks.detail.title"")}</h2>"
